epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.012,2.13762,1.55033,1.15521,0.25402,0.49201,0.28199,0.09608,2.55135,1.57509,1.21696,0.000326923,0.000326923,0.0676346
2,352.769,1.91188,1.01932,1.0635,0.68289,0.5551,0.55658,0.25824,1.95469,1.06331,1.05704,0.000594891,0.000594891,0.0345692
3,537.47,1.81643,0.94124,1.0411,0.70294,0.53493,0.5464,0.25672,1.86178,0.93454,1.03098,0.000796859,0.000796859,0.00143788
4,734.854,1.76625,0.90369,1.021,0.71407,0.55175,0.5576,0.26751,1.82067,0.93459,1.01243,0.000703,0.000703,0.000703
5,937.197,1.73373,0.87561,1.00945,0.67802,0.52864,0.5362,0.25698,1.85278,0.91308,1.01782,0.000604,0.000604,0.000604
6,1139.92,1.73256,0.86965,1.0068,0.74456,0.59675,0.61201,0.3104,1.71077,0.84142,0.98287,0.000505,0.000505,0.000505
7,1358.27,1.68268,0.84238,0.99452,0.75354,0.56211,0.57766,0.29085,1.73312,0.82472,0.99136,0.000406,0.000406,0.000406
8,1554.66,1.66775,0.82809,0.99038,0.76466,0.58316,0.60537,0.31437,1.6709,0.80802,0.96756,0.000307,0.000307,0.000307
9,1764.28,1.64798,0.81059,0.98552,0.76994,0.59612,0.61573,0.31969,1.68437,0.79237,0.97527,0.000208,0.000208,0.000208
10,1992.13,1.63683,0.80403,0.97875,0.77404,0.5918,0.61643,0.32236,1.64024,0.78284,0.96026,0.000109,0.000109,0.000109
